Complex,Year,var,value
SPEast,1992,sstS,6.70011520385742
SPEnglishBay,1992,sstS,7.59988117218018
SPReefPoint,1992,sstS,7.36162710189819
SGNorth,1993,sstS,7.22906494140625
SGSouth,1993,sstS,7.57152652740479
SPEast,1993,sstS,6.83535099029541
SPEnglishBay,1993,sstS,7.87288951873779
SPReefPoint,1993,sstS,7.66767311096191
SGNorth,1994,sstS,5.99003839492798
SGSouth,1994,sstS,6.73190879821777
SPEast,1994,sstS,5.61990833282471
SPEnglishBay,1994,sstS,6.28730630874634
SPReefPoint,1994,sstS,6.20666837692261
SGNorth,1995,sstS,5.99256944656372
SGSouth,1995,sstS,6.63410234451294
SPEast,1995,sstS,5.67725276947022
SPEnglishBay,1995,sstS,6.86373424530029
SPReefPoint,1995,sstS,6.43752574920654
SGNorth,1996,sstS,6.85079479217529
SGSouth,1996,sstS,7.8605523109436
SPEast,1996,sstS,6.36854600906372
SPEnglishBay,1996,sstS,7.78609085083008
SPReefPoint,1996,sstS,7.44078540802002
SGNorth,1997,sstS,8.07277584075928
SGSouth,1997,sstS,8.11586093902588
SPEast,1997,sstS,7.66805171966553
SPEnglishBay,1997,sstS,8.40871524810791
SPReefPoint,1997,sstS,8.37004852294922
SGNorth,1998,sstS,7.96735811233521
SGSouth,1998,sstS,8.23800754547119
SPEast,1998,sstS,8.12959003448486
SPEnglishBay,1998,sstS,8.32394886016846
SPReefPoint,1998,sstS,8.17974281311035
SGNorth,1999,sstS,4.43871021270752
SGSouth,1999,sstS,5.32513284683228
SPEast,1999,sstS,4.10355710983276
SPEnglishBay,1999,sstS,5.3627667427063
SPReefPoint,1999,sstS,5.1368727684021
SGNorth,2000,sstS,6.15226364135742
SGSouth,2000,sstS,6.73261594772339
SPEast,2000,sstS,6.89653205871582
SPEnglishBay,2000,sstS,8.63868808746338
SPReefPoint,2000,sstS,7.74321794509888
SGNorth,2001,sstS,6.85132694244385
SGSouth,2001,sstS,6.68240165710449
SPEast,2001,sstS,6.04385280609131
SPEnglishBay,2001,sstS,6.58902549743652
SPReefPoint,2001,sstS,6.8127498626709
SGNorth,2002,sstS,7.51395893096924
SGSouth,2002,sstS,8.0758638381958
SPEast,2002,sstS,7.19536685943604
SPEnglishBay,2002,sstS,7.72932195663452
SPReefPoint,2002,sstS,7.78909873962402
SGNorth,2003,sstS,7.84041261672974
SGSouth,2003,sstS,7.92480134963989
SPEast,2003,sstS,7.99097394943237
SPEnglishBay,2003,sstS,8.70367813110352
SPReefPoint,2003,sstS,8.39192295074463
SGNorth,2004,sstS,8.34818458557129
SGSouth,2004,sstS,8.43035697937012
SPEast,2004,sstS,8.7498664855957
SPEnglishBay,2004,sstS,9.35929775238037
SPReefPoint,2004,sstS,9.11477088928223
SGNorth,2005,sstS,7.64533853530884
SGSouth,2005,sstS,8.22783756256104
SPEast,2005,sstS,7.95194149017334
SPEnglishBay,2005,sstS,8.58880043029785
SPReefPoint,2005,sstS,8.28264045715332
SGNorth,2006,sstS,6.64544582366943
SGSouth,2006,sstS,7.86744213104248
SPEast,2006,sstS,5.37719106674194
SPEnglishBay,2006,sstS,6.56760883331299
SPReefPoint,2006,sstS,6.8320631980896
SGNorth,2007,sstS,6.13421440124512
SGSouth,2007,sstS,6.73768091201782
SPEast,2007,sstS,6.4399619102478
SPEnglishBay,2007,sstS,7.65253353118897
SPReefPoint,2007,sstS,6.8378119468689
SGNorth,2008,sstS,5.26821708679199
SGSouth,2008,sstS,6.57891035079956
SPEast,2008,sstS,4.30310583114624
SPEnglishBay,2008,sstS,5.42271137237549
SPReefPoint,2008,sstS,5.4505410194397
SGNorth,2009,sstS,5.460533618927
SGSouth,2009,sstS,6.11114692687988
SPEast,2009,sstS,5.04941511154175
SPEnglishBay,2009,sstS,5.83829593658447
SPReefPoint,2009,sstS,5.80350685119629
SGNorth,2010,sstS,4.74695158004761
SGSouth,2010,sstS,5.672203540802
SPEast,2010,sstS,5.26199960708618
SPEnglishBay,2010,sstS,6.64780235290527
SPReefPoint,2010,sstS,5.6222128868103
SGNorth,2011,sstS,5.98410606384277
SGSouth,2011,sstS,6.1523756980896
SPEast,2011,sstS,4.56962728500366
SPEnglishBay,2011,sstS,5.51334142684937
SPReefPoint,2011,sstS,5.79806995391846
SGNorth,2012,sstS,5.15717363357544
SGSouth,2012,sstS,6.67353010177612
SPEast,2012,sstS,5.1340217590332
SPEnglishBay,2012,sstS,6.39257621765137
SPReefPoint,2012,sstS,5.91302347183228
SGNorth,2013,sstS,5.57985734939575
SGSouth,2013,sstS,5.57828950881958
SPEast,2013,sstS,5.75793266296387
SPEnglishBay,2013,sstS,7.48754072189331
SPReefPoint,2013,sstS,6.4847264289856
SGNorth,2014,sstS,8.74118518829346
SGSouth,2014,sstS,9.79128170013428
SPEast,2014,sstS,8.33024024963379
SPEnglishBay,2014,sstS,9.47712993621826
SPReefPoint,2014,sstS,9.34531211853027
SGNorth,2015,sstS,8.13920593261719
SGSouth,2015,sstS,8.79711246490479
SPEast,2015,sstS,6.94302797317505
SPEnglishBay,2015,sstS,7.81337213516235
SPReefPoint,2015,sstS,8.23599815368652
SGNorth,2016,sstS,9.02279758453369
SGSouth,2016,sstS,8.79739856719971
SPEast,2016,sstS,10.2676038742065
SPEnglishBay,2016,sstS,11.0568876266479
SPReefPoint,2016,sstS,10.0838346481323
SGNorth,2017,sstS,8.45230007171631
SGSouth,2017,sstS,8.33754444122315
SPEast,2017,sstS,8.14574241638184
SPEnglishBay,2017,sstS,8.76933002471924
SPReefPoint,2017,sstS,8.50060939788818
SGNorth,2018,sstS,7.89094161987305
SGSouth,2018,sstS,8.05645942687988
SPEast,2018,sstS,7.7052640914917
SPEnglishBay,2018,sstS,8.02382946014404
SPReefPoint,2018,sstS,8.06816959381104
SGNorth,2019,sstS,9.26155662536621
SGSouth,2019,sstS,9.42984676361084
SPEast,2019,sstS,9.51044750213623
SPEnglishBay,2019,sstS,10.0948848724365
SPReefPoint,2019,sstS,9.84237670898438
SGNorth,2021,sstS,7.60805130004883
SGSouth,2021,sstS,8.40458297729492
SPEast,2021,sstS,7.93215179443359
SPEnglishBay,2021,sstS,8.65913677215576
SPReefPoint,2021,sstS,8.39464569091797
SGNorth,2022,sstS,7.32839775085449
SGSouth,2022,sstS,7.04469442367554
SPEast,2022,sstS,7.26214408874512
SPEnglishBay,2022,sstS,7.96652126312256
SPReefPoint,2022,sstS,7.71733617782593
